id;name;pronouns;area;area Label;power Level;color 1;color 2;color Animated?;signup Date;has donated;donated;coin;supporter End Date;boost End Date;is a Game Moderator;is Translator;is Supporter;is Boosted;runs ILs;runs FGs;runs;categories ILs;categories FGs;categories;games ILs;games FGs;games;platforms ILs;platforms FGs;platforms;wrs ILs;wrs FGs;wrs;podiums ILs;podiums FGs;podiums;obsoletes ILs;obsoletes FGs;obsoletes;Games with at least 1 wrs;categoriesMisc;levels
j2y75778;JuDev;;None;None;1;purple;purple;0;1603891972;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8e6k7d6j;BeArchYT;They/Them;None;None;1;mint;mint;0;1627211246;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8gremn2x;Hanzryx;;None;None;1;azure;blue;0;1608088316;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
v81ezo5j;Mark_MSX;;None;None;1;silver;silver;0;1516587177;False;0;0;0;0;False;False;False;False;0;3;3;0;3;3;0;3;3;0;2;2;0;1;1;0;2;2;0;0;0;1;0;0
8dwl2pgj;QuT1mP;;None;None;1;silver;silver;0;1576595795;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8ek6r6p8;Maximuni9;;None;None;1;orange;None;0;1650647532;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
xyrz5ynj;abatanov_;He/Him;None;None;1;red;blue;0;1617026194;False;0;2;0;0;False;False;False;False;0;1;1;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
81q5n6qj;thebishop;;None;None;1;blue;blue;0;1638590610;False;0;0;0;0;False;False;False;False;0;5;5;0;2;2;0;1;1;0;1;1;0;0;0;0;3;3;0;0;0;0;1;0
xk4z537j;Xtra;He/Him;None;None;1;azure;blue;0;1612545558;False;0;2;0;0;False;False;False;False;0;2;2;0;2;2;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
8lpz2rrj;S3vro;He/Him;None;None;1;green;mint;0;1630427963;False;0;0;0;0;False;False;False;False;1;0;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1
